n00001740	entity
n02776631	bakery, a type of bakeshop building
n02791270	barbershop, a type of building
n02871525	bookshop or bookstore, a type of bookstall building
n02927161	butcher shop, a type of meat market building
n03089624	confectionery or candy store, a type of building
n04200800	shoe shop, a type of shoe store buiding
n04443257	tobacco shop, a type of building
n04462240	toyshop, a type of building
n03661043	library, a type of building
n03956157	planetarium, a type of building
n04005630	prison, a type of building
n04081281	restaurant or eatery, a type of building
n02814860	beacon or lighthouse, a type of tower
n03042490	cliff dwelling, a type of building
n04613696	yurt, a type of building
n03776460	mobile home, a type of building
n02980441	castle, a type of building
n02843684	birdhouse, a type of building
n03877845	palace, a type of building
n03781244	monastery, a type of building
n03216828	dock or docking facility, a type of building
n03899768	patio or terrace, a type of building
n02825657	bell cote or bell tower, a type of tower
n04105068	roof or ceiling, a type of top of building
n03220513	dome, a type of roof
n04417672	thatched roof, a type of roof
n04435653	tile roof, a type of roof
n04523525	vaulted or arched ceiling, a type of roof
n04296562	stage, a type of building
n04562935	water tower, a type of reservoir building
n03240683	drilling offshore rig, a type of building
n03388043	fountain, a type of building
n04217882	signboard, a type of building
n04149813	scoreboard, a type of signboarf
n06794110	street sign, a type of signboard
n06874185	traffic light or traffic signal, a type of signboard
n02898711	bridge, a type of buiding
n04311004	steel arch bridge, a type of bridge
n04366367	suspension bridge, a type of buiding
n04532670	viaduct, a type of buiding
n03733281	maze (labyrinth), a type of buiding
n03743902	memorial monument, a type of buiding
n02892201	brass memorial plaque structure, a type of buiding
n03743016	megalithic structure, a type of buiding
n04486054	triumphal arch, a type of buiding
n03074380	column or pillar, a type of buiding
n03837869	obelisk pillar monument, a type of buiding
n04458633	totem pole pillar monument , a type of buiding
n03903868	pedestal, a type of buiding
n02796623	barrier, a type of constructed buiding
n02788148	bannister (balustrade) handrail, a type of barrier
n02894605	breakwater or jetty, a type of water barrier
n03160309	dam, a type of water barrier
n03327234	fence, a type of buiding
n03000134	chain-link fence, a type of fence
n03930313	picket fence, a type of fence
n04326547	stone wall, a type of fence
n04604644	snake-rail fence or split-rail fence, a type of fence
n04501370	turnstile gate, a type of barrier
n09287968	geological formation, a body of rock
n09433442	shore, a geological formation by water
n09332890	lakeside or lakeshore, a geological formation by water
n09428293	seashore, a geological formation by water
n09288635	geyser, a geological natural spring fountain
n09246464	cliff, a geological formation
n09421951	sandbank or shoal, a geological formation
n09359803	mountain, a geological formation
n09193705	alp mountain, a type of mountain
n09472597	volcano, a geological formation
n09399592	promontory or headland, a geological formation
n09256479	coral reef, a geological formation
n09468604	valley, a geological formation
n02729837	electric appliance, a type of appliance
n03483316	hair dryer or hair drier, a type of electrical appliance
n03584829	clothes iron, a type of electrical appliance
n04179913	sewing machine, a type of appliance
n04517823	vacuum cleaner, a type of electrical appliance
n03271574	electric fan, a type of electrical appliance
n04265275	space heater, a type of electrical appliance
n04330267	stove, a type of electrical appliance
n03649909	lawn mower, a type of electrical appliance
n03133878	Crock Pot, a type of electrical cooker
n03207941	dishwasher or dishwashing machine, a type of electrical appliance
n04070727	refrigerator, a type of electrical appliance
n04554684	washer or washing machine, a type of electrical appliance
n03761084	microwave oven, a type of electrical kitchen appliance
n04442312	toaster, a type of electrical kitchen appliance
n04542943	waffle iron, a type of electrical kitchen appliance
n03297495	espresso maker, a type of electrical coffee maker
n04111531	rotisserie, a type of electrical kitchen appliance
n03278248	electronic equipment, a type of electronic appliance
n02979186	cassette player, a type of electronic equipment
n02988304	CD player, a type of electronic equipment
n03777754	modem, a type of electronic equipment
n03782006	monitor, a type of electronic equipment
n03857828	cathode-ray oscilloscope, a type of electronic equipment
n04392985	tape player, a type of electronic equipment
n04401088	telephone, a type of electronic equipment
n03187595	dial telephone, a type of electronic equipment
n03902125	pay-phone, a type of electronic equipment
n02992529	cellular telephone, a type of electronic equipment
n02757462	audio or sound system, a type of electronic equipment
n03584254	iPod, a type of electronic equipment
n03691459	loudspeaker, a type of electronic equipment
n04404412	television or TV, a type of electronic equipment
n04041544	wireless radio, a type of electronic equipment
n03759954	microphone, a type of electronic equipment
n03924679	photocopier, a type of electronic equipment
n04009552	projector, a type of electronic equipment
n03529860	home theater, a type of electronic equipment
n03196324	digital computer, a type of electronic equipment
n03180011	desktop computer, a type of computer
n03485407	hand-held computer, a type of computer
n03642806	laptop computer, a type of computer
n03832673	notebook computer, a type of computer
n04004767	printer, a type of electronic equipment
n04152593	CRT screen, a type of video display
n03085013	computer keyboard, a type of electronic equipment
n03602883	joystick, a type of electronic equipment
n03793489	computer mouse, a type of electronic equipment
n04074963	remote control, a type of electronic equipment
n04285146	sports equipment, a type of equipment
n04571292	exercising weights, a type of sports equipment
n02790996	barbells, a type of sports equipment
n03255030	dumbbells, a type of sports equipment
n03472232	gymnastic apparatu, a type of sports equipment
n02777292	balance beam, a type of sports equipment
n03535780	horizontal gymnastic bar, a type of sports equipment
n03888605	parallel gymnastic bars, a type of sports equipment
n04023962	punching bag, a type of sports equipment
n02778669	ball, a type of sports equipment
n02799071	baseball, a type of ball
n02802426	basketball, a type of ball
n03134739	croquet ball, a type of ball
n03445777	golf ball, a type of ball
n03942813	ping-pong ball, a type of ball
n04118538	rugby ball, a type of ball
n04254680	soccer ball, a type of ball
n04409515	tennis ball, a type of ball
n04540053	volleyball, a type of ball
n04039381	racket or racquet, a type of sports equipment
n04228054	ski, a type of sports equipment
n04251144	snorkel, a type of sports equipment
n03926148	photographic equipment, a type of equipment
n02942699	camera, a type of photographic equipment
n03976467	Polaroid camera, a type of camera
n04069434	reflex camera, a type of camera
n04485082	camera tripod standa, a type of camera equipment
n03657121	lens cap, a type of camera equipment
n03733925	measuring instrument, a type of measuring equipment
n04118776	ruler measuring stick, a type of measuring instrument
n03841143	odometer, a type of mile measuring instrument
n04437953	timepiece or clock, a type of measuring instrument
n04355338	sundial, a type of time measuring instrument
n04438304	timer, a type of time measuring instrument
n03891332	parking meter, a type of measuring instrument
n04328186	stopwatch, a type of time measuring instrument
n03046257	clock, a type of time measuring instrument
n02708093	analog clock, a type of clock
n03196217	digital clock, a type of clock
n04548280	wall clock, a type of clock
n03197337	digital watch, a type of clock
n03544143	hourglass or sandglass, a type of time measuring instrument
n02794156	barometer, a type of pressure measuring instrument
n04141975	scale or weighing machine, a type of weight measuring instrument
n03706229	magnetic, a type of navigation instrument
n02666196	abacus, a type of calculation instrument
n04044716	radio telescope, a type of scientific instrument
n03760671	microscope, a type of scientific instrument
n03692522	jeweler's loupe magnifying glass, a type of instrument
n02841315	binoculars or field glasses, a type of instrument
n03800933	musical instrument, a type of instrument
n03614532	keyboard instrument, a type of musical instrument
n02672831	piano accordion, a type of musical instrument
n03854065	pipe organ, a type of musical instrument
n03928116	piano or pianoforte, a type of musical instrument
n03452741	grand piano, a type of musical instrument
n04515003	upright piano, a type of musical instrument
n03915437	percussion instrument, a type of musical instrument
n03017168	wind chime or bell chime, a type of musical instrument
n03249569	drum, a type of musical instrument
n03447721	gong or tam-tam, a type of musical instrument
n03720891	maraca hand percussion, a type of musical instrument
n03721384	marimba xylophone, a type of musical instrument
n04311174	steel drum, a type of musical instrument
n04338517	stringed instrument, a type of musical instrument
n02787622	banjo, a type of stringed musical instrument
n03467517	guitar, a type of stringed musical instrument
n02676566	acoustic guitar, a type of stringed musical instrument
n03272010	electric guitar, a type of stringed musical instrument
n03495258	harp, a type of stringed musical instrument
n02992211	cello, a type of stringed musical instrument
n04536866	violin, a type of stringed musical instrument
n04586932	wind instrument, a type of musical instrument
n03840681	ocarina vessel flute, a type of musical wind instrument
n03884397	pan flute or panpipe, a type of musical wind instrument
n03494278	harmonica or mouth organ, a type of musical wind instrument
n03372029	flute, a type of musical wind instrument
n02804610	bassoon, a type of musical wind instrument
n03838899	oboe woodwind instrument, a type of musical wind instrument
n04141076	saxophone, a type of musical wind instrument
n03110669	horn or trumpet, a type of musical wind instrument
n03394916	French horn, a type of musical wind instrument
n04487394	trombone, a type of musical wind instrument
n03967562	plow, plough
n03876231	paintbrush
n03906997	pen, a type of writing implement
n02783161	ballpoint pen, a type of writing implement
n03388183	fountain pen, a type of writing implement
n04033901	quill pen, a type of writing implement
n04116512	rubber pencil eraser, a type of writing implement
n03908714	pencil sharpener, a type of writing implement
n04153751	screw
n03804744	nail
n04127249	safety pin, a type of pin
n03682487	lock
n03075370	combination lock
n03874599	padlock
n04067472	fishing casting reel
n03666591	lighter or igniter, ignitor
n04456115	torch
n03489162	hand tool, a type of implement
n03481172	hammer, a type of handtool
n03970156	plunger or plumber's helper, a type of handtool
n04154565	screwdriver, a type of handtool
n04208210	shovel, a type of handtool
n02966687	carpenter's tool kit, a type of handtool
n03995372	power drill, a type of handtool
n03000684	chain saw, a type of handtool
n03739693	medical instrument
n04317175	stethoscope, a type of medical instrument
n04376876	syringe, a type of medical instrument
n04565375	weapon, a type of damaging implement
n02879718	bow, a type of weapon
n03773504	missile, a type of weapon
n04008634	projectile missile, a type of weapon
n02950826	cannon, a type of weapon
n03343853	firearm, a type of weapon
n04090263	rifle, a type of weapon
n04086273	revolver, a type of pistol
n02749479	assault rifle, a type of automatic weapon
n03621049	kitchen utensil, a type of cooking equipment
n02951585	can opener, a type of opener
n03109150	corkscrew, a type of bottle opener
n03961711	plate rack, a type of kitchen utensil
n04476259	tray, a type of kitchen utensil
n03062245	cocktail shaker, a type of kitchen utensil
n04131690	salt shaker, a type of kitchen utensil
n03990474	cooking pot, a type of kitchen utensil
n02939185	cooking cauldron, a type of kitchen utensil
n03063689	coffeepot, a type of kitchen utensil
n04398044	teapot, a type of kitchen utensil
n07930864	teacup, a type of drinking cup
n03259280	Dutch oven, a type of kitchen utensil
n03880531	cooking pan, a type of kitchen utensil
n03400231	frying pan or skillet, a type of kitchen utensil
n04596742	wok, a type of kitchen utensil
n04270147	spatula, a type of kitchen utensil
n03633091	ladle, a type of kitchen utensil
n03041632	meat cleaver, a type of kitchen knife
n03733805	measuring cup, a type of kitchen utensil
n04381994	dish, a type of kitchen utensil
n02880940	bowl, a type of kitchen utensil
n03775546	mixing bowl, a type of kitchen utensil
n04263257	soup bowl, a type of kitchen utensil
n07579787	plate, a type of kitchen utensil
n04597913	wooden spoon, a type of kitchen utensil
n03063599	coffee mug, a type of kitchen utensil
n02823750	beer glass, a type of kitchen utensil
n03443371	goblet, a type of kitchen utensil
n02876657	bottle, a type of liquid storage utensil
n02823428	beer bottle, a type of bottle
n03983396	pop bottle or soda bottle, a type of bottle
n04557648	water bottle, a type of bottle
n04591713	wine bottle, a type of bottle
n04560804	water jug, a type of liquid storage utensil
n04579145	whiskey jug, a type of liquid storage utensil
n00004258	living thing
n00015388	animal
n01768244	trilobite
n01784675	centipede, a type of insect
n01769347	arachnid, a type of spider insect
n01770081	harvestman spider, a type of insect
n01770393	scorpion, a type of insect
n01776313	tick, a type of insect
n01772222	spider, a type of insect
n01773157	black and gold garden spider, a type of insect
n01773549	barn spider, a type of insect
n01773797	European garden spider, a type of insect
n01774384	southern black widow spider, a type of insect
n01774750	tarantula, a type of spider
n01775062	wolf spider, a type of spider
n01974773	crustacean, a type of animal
n01985128	crayfish or crawfish, a type of crustacean
n01986214	hermit crab, a type of crustacean
n01982650	lobster, a type of crustacean
n01984695	spiny rock lobster or crawfish, a type of crustacean
n01983481	American lobster, a type of crustacean
n01976957	crab, a type of crustacean
n01978287	Dungeness crab, a type of crustacean
n01978455	rock crab, a type of crustacean
n01980166	fiddler crab, a type of crustacean
n01981276	Alaskan red king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
n01990800	isopod
n02159955	insect, a type of animal
n02164464	beetle, a type of insect
n02165105	tiger beetle, a type of insect
n02165456	ladybug or ladybird beetle, a type of insect
n02167151	ground beetle, a type of insect
n02168699	long-horned beetle, a type of insect
n02169497	leaf beetle, a type of insect
n02177972	weevil, a type of insect
n02171869	scarabaeid beetle, a type of insect
n02172182	dung beetle, a type of insect
n02174001	rhinoceros beetle, a type of insect
n02256656	cicada, a type of insect
n02259212	leafhopper, a type of insect
n02226429	grasshopper, a type of insect
n02229544	cricket, a type of insect
n02274259	butterfly, a type of insect
n02277742	ringlet butterfly, a type of insect
n02281406	sulphur butterfly, a type of insect
n02281787	gossamer-winged butterfly, a type of insect
n02280649	small white cabbage butterfly, a type of pierid butterfly
n02276258	red admiral butterfly, a type of insect
n02279972	monarch milkweed butterfly, a type of insect
n02233338	cockroach, a type of insect
n02236044	praying mantis, a type of insect
n02206856	bee, a type of insect
n02219486	ant, a type of insect
n02264363	lacewing fly, a type of insect
n02190166	fly, a type of insect
n02231487	walking stick, a type of insect
n02268443	dragonfly or devil's darning needle, a type of insect
n02268853	damselfly, a type of insect
n02317335	starfish, a type of aquatic animal
n02321529	sea cucumber, a type of aquatic animal
n02319095	sea urchin, a type of aquatic animal
n01940736	mollusk or shellfish, a type of aquatic animal
n01955084	chiton or coat-of-mail shell, a type of aquatic animal
n01943899	conch, a type of aquatic animal
n01944390	snail, a type of aquatic animal
n01945685	slug, a type of aquatic animal
n01950731	sea slug,, a type of aquatic animal
n01968897	chambered nautilus, a type of aquatic animal
n01914609	sea anemone, a type of aquatic animal
n01917289	brain coral, a type of coral
n01910747	jellyfish, a type of fish
n01922303	worm, a type of animal
n01924916	flatworm, platyhelminth
n01930112	nematode worm, roundworm
n01861778	mammal, mammalian
n01872401	echidna or spiny anteater, a type of mammal
n01873310	duck-billed platypus, a type of mammal
n02454379	armadillo, a type of mammal
n02457408	three-toed tree sloth, a type of mammal
n02329401	rodent, a type of mammal
n02342885	hamster, a type of rodent
n02346627	porcupine or hedgehog, a type of rodent
n02361337	marmot, a type of rodent
n02363005	beaver, a type of rodent
n02356798	eastern fox squirrel, a type of mammal
n02364673	guinea pig, a type of rodent
n02062017	aquatic mammal
n02073250	sea cow, a type of aquatic mammal
n02074367	dugong, a type of sea cow
n02062744	whale, a type of aquatic mammal
n02066245	grey whale, a type of aquatic mammal
n02071294	killer whale or orca, a type of aquatic mammal
n02077923	sea lion, a type of seal
n02503517	elephant, a type of mammal
n02504013	Indian elephant, a type of mammal
n02504458	African bush elephant, a type of mammal
n02469914	primate, a type of mammal
n02496913	lemur, a type of primate
n02497673	Madagascar ring-tailed lemur, a type of primate
n02500267	indri or indris lemur (babakato), a type of primate
n02484322	monkey, a type of primate
n02490219	marmoset monkey,a type of primate
n02492035	white-headed capuchin monkey, a type of primate
n02492660	howler monkey, a type of primate
n02493509	titi monkey, a type of primate
n02493793	Geoffroy's spider monkey, a type of primate
n02494079	common squirrel monkey, a type of primate
n02484975	guenon monkey, a type of primate
n02486261	patas hussar monkey, a type of primate
n02486410	baboon, a type of primate
n02487347	macaque monkey, a type of primate
n02488291	langur, a type of primate
n02488702	black-and-white colobus monkey, a type of primate
n02489166	proboscis monkey, a type of primate
n02470325	ape, a type of primate
n02480495	orangutan, a type of primate
n02480855	gorilla, a type of primate
n02481823	chimpanzee or chimp, a type of primate
n02483362	gibbon, a type of primate
n02483708	siamang, a type of primate
n02326432	hare, a type of mammal
n02324045	rabbit, a type of mammal
n02325366	cottontail wood rabbit, a type of mammal
n02328150	Angora rabbit, a type of mammal
n02398521	hippopotamus or hippo, a type of mammal
n02437616	llama, a type of mammal
n02437312	Arabian camel, a type of mammal
n02355003	swine, a type of mammal
n02395406	pig (hog), a type of mammal
n02396427	wild boar, a type of mammal
n02397096	warthog, a type of mammal
n02391049	zebra, a type of mammal
n02389026	common sorrel horse, a type of mammal
n02410509	bison, a type of bovine mammal
n02419796	antelope, a type of mammal
n02422106	hartebeest, a type of mammal
