Started run at: 1713783724.45 seconds
Run folder: data/imagenet_hierarchy_k_0.5_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate
Inference time: 972.79 seconds 

Inference time: 885.28 seconds 

Inference time: 748.97 seconds 

Inference time: 670.50 seconds 

Inference time: 303.79 seconds 

Inference time: 762.33 seconds 

Inference time: 396.17 seconds 

Inference time: 679.77 seconds 

Inference time: 585.88 seconds 

Inference time: 552.04 seconds 

Inference time: 359.68 seconds 

Inference time: 364.12 seconds 

Inference time: 523.54 seconds 

Inference time: 434.25 seconds 

Inference time: 859.40 seconds 

Inference time: 434.35 seconds 

Inference time: 485.94 seconds 

Inference time: 399.03 seconds 

Inference time: 463.20 seconds 

Inference time: 411.13 seconds 

Inference time: 374.73 seconds 

Inference time: 501.02 seconds 

Inference time: 357.19 seconds 

Inference time: 360.71 seconds 

Inference time: 322.51 seconds 

Inference time: 467.60 seconds 

Inference time: 441.80 seconds 

Inference time: 571.12 seconds 

Inference time: 635.32 seconds 

Inference time: 779.41 seconds 

Inference time: 574.46 seconds 

Inference time: 420.46 seconds 

Inference time: 497.75 seconds 

Inference time: 525.26 seconds 

Inference time: 252.38 seconds 

Inference time: 487.80 seconds 

Inference time: 455.32 seconds 

Inference time: 500.33 seconds 

Inference time: 460.67 seconds 

Inference time: 612.02 seconds 

Inference time: 421.17 seconds 

Inference time: 714.68 seconds 

Inference time: 732.14 seconds 

Inference time: 568.53 seconds 

Inference time: 630.64 seconds 

Inference time: 582.94 seconds 

Inference time: 852.21 seconds 

Inference time: 586.12 seconds 

Inference time: 643.39 seconds 

Inference time: 613.04 seconds 

Inference time: 606.46 seconds 

Inference time: 527.25 seconds 

Inference time: 783.01 seconds 

Inference time: 765.22 seconds 

Inference time: 574.81 seconds 

Inference time: 577.31 seconds 

Inference time: 803.76 seconds 

Inference time: 958.40 seconds 

Inference time: 646.60 seconds 

Inference time: 681.20 seconds 

Inference time: 590.67 seconds 

Inference time: 488.93 seconds 

Inference time: 740.55 seconds 

Inference time: 857.39 seconds 

Inference time: 564.29 seconds 

Inference time: 703.14 seconds 

Inference time: 524.55 seconds 

Inference time: 599.92 seconds 

Inference time: 512.11 seconds 

Inference time: 463.17 seconds 

Inference time: 426.90 seconds 

Inference time: 536.63 seconds 

Inference time: 905.10 seconds 

Inference time: 633.82 seconds 

Inference time: 757.22 seconds 

Inference time: 582.07 seconds 

Inference time: 649.43 seconds 

Inference time: 666.54 seconds 

Inference time: 681.00 seconds 

Inference time: 941.55 seconds 

Inference time: 605.94 seconds 

Inference time: 813.14 seconds 

Inference time: 780.94 seconds 

Inference time: 641.78 seconds 

Inference time: 529.93 seconds 

Inference time: 537.34 seconds 

Inference time: 727.01 seconds 

Inference time: 626.30 seconds 

Inference time: 611.98 seconds 

Inference time: 726.07 seconds 

Inference time: 978.93 seconds 

Inference time: 583.48 seconds 

Inference time: 824.69 seconds 

Inference time: 748.05 seconds 

Inference time: 830.95 seconds 

Inference time: 728.35 seconds 

Inference time: 588.25 seconds 

Inference time: 637.35 seconds 

Inference time: 704.81 seconds 

Inference time: 699.63 seconds 

Inference time: 534.97 seconds 

Inference time: 448.48 seconds 

Inference time: 825.86 seconds 

Inference time: 849.52 seconds 

Inference time: 700.98 seconds 

Inference time: 558.23 seconds 

Inference time: 741.61 seconds 

Inference time: 521.48 seconds 

Inference time: 722.40 seconds 

Inference time: 632.12 seconds 

Inference time: 591.32 seconds 

Inference time: 786.03 seconds 

Inference time: 785.81 seconds 

Inference time: 866.97 seconds 

Inference time: 735.53 seconds 

Inference time: 557.84 seconds 

Inference time: 813.08 seconds 

Inference time: 773.41 seconds 

Inference time: 608.77 seconds 

Inference time: 842.70 seconds 

Inference time: 595.99 seconds 

Inference time: 641.95 seconds 

Inference time: 742.79 seconds 

Inference time: 712.56 seconds 

Inference time: 617.03 seconds 

Inference time: 239.57 seconds 

Inference time: 508.32 seconds 

Inference time: 679.02 seconds 

Inference time: 560.52 seconds 

Inference time: 409.10 seconds 

Inference time: 515.33 seconds 

Inference time: 503.68 seconds 

Inference time: 586.20 seconds 

Inference time: 470.46 seconds 

Inference time: 599.94 seconds 

Inference time: 603.66 seconds 

Inference time: 590.82 seconds 

Inference time: 581.89 seconds 

Inference time: 884.39 seconds 

Inference time: 853.44 seconds 

Inference time: 257.65 seconds 

Inference time: 553.05 seconds 

Inference time: 670.93 seconds 

Inference time: 329.51 seconds 

Inference time: 475.69 seconds 

Inference time: 513.78 seconds 

Inference time: 514.38 seconds 

Inference time: 450.89 seconds 

Inference time: 567.03 seconds 

Inference time: 464.15 seconds 

Inference time: 446.88 seconds 

Inference time: 604.36 seconds 

Inference time: 459.81 seconds 

Inference time: 591.97 seconds 

Inference time: 450.69 seconds 

Inference time: 281.68 seconds 

Inference time: 258.79 seconds 

Inference time: 585.22 seconds 

Inference time: 256.47 seconds 

Inference time: 409.32 seconds 

Inference time: 776.66 seconds 

Inference time: 491.07 seconds 

Inference time: 490.07 seconds 

Inference time: 549.93 seconds 

Inference time: 523.50 seconds 

Inference time: 443.14 seconds 

Inference time: 418.71 seconds 

Inference time: 380.42 seconds 

Inference time: 382.76 seconds 

Inference time: 566.68 seconds 

Inference time: 436.58 seconds 

Inference time: 590.07 seconds 

Inference time: 510.27 seconds 

Inference time: 674.92 seconds 

Inference time: 470.33 seconds 

Inference time: 567.32 seconds 

Inference time: 432.08 seconds 

Inference time: 581.28 seconds 

Inference time: 621.37 seconds 

Inference time: 456.75 seconds 

Inference time: 675.28 seconds 

Inference time: 588.14 seconds 

Inference time: 415.64 seconds 

Inference time: 586.37 seconds 

Inference time: 526.14 seconds 

Inference time: 462.96 seconds 

Inference time: 224.82 seconds 

Inference time: 552.37 seconds 

Inference time: 768.55 seconds 

Inference time: 428.47 seconds 

Inference time: 790.46 seconds 

Inference time: 534.69 seconds 

Inference time: 727.27 seconds 

Inference time: 722.72 seconds 

Inference time: 542.54 seconds 

Inference time: 431.82 seconds 

Inference time: 686.76 seconds 

Inference time: 507.69 seconds 

Inference time: 564.77 seconds 

Inference time: 381.47 seconds 

Inference time: 638.34 seconds 

Inference time: 378.70 seconds 

Inference time: 885.94 seconds 

Inference time: 425.17 seconds 

Inference time: 381.29 seconds 

Inference time: 386.97 seconds 

Inference time: 630.97 seconds 

Inference time: 521.73 seconds 

Inference time: 639.18 seconds 

Inference time: 541.49 seconds 

Inference time: 649.85 seconds 

Inference time: 561.87 seconds 

Inference time: 761.73 seconds 

Inference time: 743.34 seconds 

Inference time: 605.92 seconds 

Inference time: 551.58 seconds 

Inference time: 560.85 seconds 

Inference time: 433.89 seconds 

Inference time: 494.91 seconds 
