index,node_id,prompt,class_name,is_leaf,classidx
40,n0040,a blurry photo of a shark.,shark,1,74
41,n0041,a blurry photo of a whale.,whale,1,96
42,n0042,a blurry photo of a train.,train,1,91
43,n0043,a blurry photo of a trout.,trout,1,92
44,n0044,a blurry photo of a dolphin.,dolphin,1,30
45,n0045,a blurry photo of a purple object.,purple,0,99999
46,n0046,a blurry photo of a orchid.,orchid,1,55
47,n0047,a blurry photo of a brown object.,brown,0,99999
48,n0048,a blurry photo of a bear.,bear,1,3
49,n0049,a blurry photo of a camel.,camel,1,15
50,n0050,a blurry photo of a cattle.,cattle,1,19
51,n0051,a blurry photo of a chair.,chair,1,20
52,n0052,a blurry photo of a couch.,couch,1,25
53,n0053,a blurry photo of a mushroom.,mushroom,1,52
54,n0054,a blurry photo of a otter.,otter,1,56
55,n0055,a blurry photo of a porcupine.,porcupine,1,64
56,n0056,a blurry photo of a rabbit.,rabbit,1,66
57,n0057,a blurry photo of a raccoon.,raccoon,1,67
58,n0058,a blurry photo of a skunk.,skunk,1,76
59,n0059,a blurry photo of a squirrel.,squirrel,1,81
60,n0060,a blurry photo of a table.,table,1,85
61,n0061,a blurry photo of a wardrobe.,wardrobe,1,95
62,n0062,a blurry photo of a butterfly.,butterfly,1,14
63,n0063,a blurry photo of a beetle.,beetle,1,7
64,n0064,a blurry photo of a black object.,black,0,99999
65,n0065,a blurry photo of a beetle.,beetle,1,7
66,n0066,a blurry photo of a clock.,clock,1,22
67,n0067,a blurry photo of a computer keyboard.,computer_keyboard,1,39
68,n0068,a blurry photo of a mouse.,mouse,1,51
69,n0069,a blurry photo of a skunk.,skunk,1,76
70,n0070,a blurry photo of a spider.,spider,1,80
71,n0071,a blurry photo of a white object.,white,0,99999
72,n0072,a blurry photo of a bed.,bed,1,5
73,n0073,a blurry photo of a bowl.,bowl,1,10
74,n0074,a blurry photo of a cup.,cup,1,28
75,n0075,a blurry photo of a plate.,plate,1,62
76,n0076,a blurry photo of a cloud.,cloud,1,23
77,n0077,a blurry photo of a lamp.,lamp,1,40
78,n0078,a blurry photo of a rocket.,rocket,1,70
79,n0079,a blurry photo of a gray object.,gray,0,99999
80,n0080,a blurry photo of a bridge.,bridge,1,12
81,n0081,a blurry photo of a castle.,castle,1,17
82,n0082,a blurry photo of a bus.,bus,1,13
83,n0083,a blurry photo of a motorcycle.,motorcycle,1,49
84,n0084,a blurry photo of a pickup truck.,pickup_truck,1,59
85,n0085,a blurry photo of a road.,road,1,69
86,n0086,a blurry photo of a skyscraper.,skyscraper,1,77
87,n0087,a blurry photo of a tank.,tank,1,86
88,n0088,a blurry photo of a train.,train,1,91
89,n0089,a blurry photo of a multicolor object.,multicolor,0,99999
90,n0090,a blurry photo of a baby.,baby,1,2
91,n0091,a blurry photo of a boy.,boy,1,11
92,n0092,a blurry photo of a girl.,girl,1,35
93,n0093,a blurry photo of a man.,man,1,47
94,n0094,a blurry photo of a woman.,woman,1,99
95,n0095,a blurry photo of a bicycle.,bicycle,1,8
96,n0096,a blurry photo of a house.,house,1,37
97,n0097,a blurry photo of a bottle.,bottle,1,9
98,n0098,a blurry photo of a can.,can,1,16
99,n0099,a blurry photo of a chimpanzee.,chimpanzee,1,21
100,n0100,a blurry photo of a cockroach.,cockroach,1,24
101,n0101,a blurry photo of a elephant.,elephant,1,31
102,n0102,a blurry photo of a flatfish.,flatfish,1,32
103,n0103,a blurry photo of a kangaroo.,kangaroo,1,38
104,n0104,a blurry photo of a lawn mower.,lawn_mower,1,41
105,n0105,a blurry photo of a lemon.,lemon,1,42
106,n0106,a blurry photo of a mountain.,mountain,1,50
107,n0107,a blurry photo of a possum.,possum,1,65
108,n0108,a blurry photo of a ray.,ray,1,68
109,n0109,a blurry photo of a seal.,seal,1,73
110,n0110,a blurry photo of a shrew.,shrew,1,75
111,n0111,a blurry photo of a snail.,snail,1,78
112,n0112,a blurry photo of a telephone.,telephone,1,87
113,n0113,a blurry photo of a television.,television,1,88
114,n0114,a blurry photo of a wolf.,wolf,1,98
115,n0115,a blurry photo of a worm.,worm,1,100
