index,node,prompt,class_name,is_leaf,classidx
66,n04399382,a photo of a teddy bear.,teddy bear,1,850
67,n02773037,a photo of a bag.,bag,0,99999
68,dummy105,a photo of a fabric.,fabric,0,99999
69,n02951585,a photo of a can opener.,can opener,1,473
70,dummy677,a photo of a stick.,stick,0,99999
71,n03498962,a photo of a hatchet.,hatchet,1,596
72,n03476684,a photo of a hair clip.,hair clip,1,584
73,n03868863,a photo of a oxygen mask.,oxygen mask,1,691
74,n04153751,a photo of a screw.,screw,1,783
75,n03888257,a photo of a parachute.,parachute,1,701
76,n04019541,a photo of a hockey puck.,hockey puck,1,746
77,n03899768,a photo of a patio or terrace.,patio or terrace,1,706
78,n02747177,a photo of a trash can.,trash can,1,412
79,n02965783,a photo of a car mirror.,car mirror,1,475
80,n02840245,a photo of a ring binder.,ring binder,1,446
81,n03929660,a photo of a plectrum.,plectrum,1,714
82,n03794056,a photo of a mouse trap.,mouse trap,1,674
83,n02999410,a photo of a metal chain.,chain,1,488
84,n04254120,a photo of a soap dispenser.,soap dispenser,1,804
85,n04067472,a photo of a fishing casting reel.,fishing casting reel,1,758
86,n04044716,a photo of a radio telescope.,radio telescope,1,755
87,n04507155,a photo of a umbrella.,umbrella,1,879
88,n03425413,a photo of a gas pump.,gas pump,1,571
89,n04423845,a photo of a sewing thimble.,sewing thimble,1,855
90,n03764736,a photo of a milk can.,milk can,1,653
91,n03906997,a photo of a pen.,pen,0,99999
92,n03682487,a photo of a lock.,lock,0,99999
93,n03843555,a photo of a oil filter.,oil filter,1,686
94,n03692522,a photo of a jeweler's loupe magnifying glass.,jeweler's loupe magnifying glass,1,633
95,n09287968,a photo of a geological formation or a body of rock.,geological formation,0,99999
96,n06596364,a photo of a comic book.,comic book,1,917
97,n03489162,a photo of a hand tool.,hand tool,0,99999
98,dummy131,a photo of a cleaning equipment.,cleaning equipment,0,99999
99,n04081844,a photo of a restraint or belt.,restraint or belt,0,99999
100,n02666196,a photo of a abacus.,abacus,1,398
101,n00015388,a photo of a animal.,animal,0,99999
102,n04217882,a photo of a signboard.,signboard,0,99999
103,n03920288,a photo of a petri dish.,petri dish,1,712
104,n03291819,a photo of a envelope.,envelope,1,549
105,n04264628,a photo of a keyboard space bar.,keyboard space bar,1,810
106,dummy230,a photo of a source of illumination or lighting.,source of illumination or lighting,0,99999
107,n02729837,a photo of a electric appliance.,electric appliance,0,99999
108,n03926148,a photo of a photographic equipment.,photographic equipment,0,99999
109,n04332243,a photo of a strainer.,strainer,1,828
110,n03627232,a photo of a rope knot.,rope knot,1,616
111,n03733281,a photo of a maze (labyrinth).,maze (labyrinth),1,646
112,n03530642,a photo of a honeycomb.,honeycomb,1,599
113,n03739693,a photo of a medical instrument or equipment.,medical instrument,0,99999
114,n03935335,a photo of a piggy bank.,piggy bank,1,719
115,n07802026,a photo of a hay fodder.,hay fodder,1,958
116,n03405265,a photo of a furnishing.,furnishing,0,99999
117,n02880940,a photo of a bowl.,bowl,0,99999
118,n03467068,a photo of a guillotine.,guillotine,1,583
119,n03388043,a photo of a water fountain.,fountain,1,562
120,n02795169,a photo of a barrel.,barrel,1,427
121,dummy80,a photo of a basket.,  basket,0,99999
122,n03800933,a photo of a musical instrument.,musical instrument,0,99999
123,n03126707,a photo of a construction crane.,construction crane,1,517
124,n03873416,a photo of a paddle oar.,paddle  oar,1,693
125,n03216828,a photo of a dock or docking facility.,dock or docking facility,1,536
126,dummy190,a photo of a wheel.,wheel,0,99999
127,n03792972,a photo of a tent.,tent,1,672
128,n04565375,a photo of a weapon.,weapon,0,99999
129,n02808440,a photo of a bathtub.,bathtub,1,435
130,n03717622,a photo of a manhole cover.,manhole cover,1,640
131,n03733925,a photo of a measuring instrument.,measuring instrument,0,99999
132,n04040759,a photo of a radiator or heating device.,radiator or heating device,1,753
133,n04258138,a photo of a solar thermal collector.,solar thermal collector,1,807
134,n02796623,a photo of a barrier.,barrier,0,99999
135,n03063599,a photo of a coffee mug.,coffee mug,1,504
136,n04437953,a photo of a timepiece or clock.,timepiece or clock,0,99999
137,n03100490,a photo of a transport vehicle.,transport vehicle,0,99999
138,n03710193,a photo of a mailbox.,mailbox,1,637
139,n04554684,a photo of a washer or washing machine.,washer or washing machine,1,897
140,n02988304,a photo of a CD player.,CD player,1,485
141,n03733805,a photo of a measuring cup.,measuring cup,1,647
142,n02971356,a photo of a cardboard box / carton.,cardboard box / carton,1,478
143,n03207941,a photo of a dishwasher or dishwashing machine.,dishwasher or dishwashing machine,1,534
144,n02979186,a photo of a cassette player.,cassette player,1,482
145,n03816005,a photo of a neckwear.,neckwear,0,99999
146,n04560804,a photo of a water jug.,water jug,1,899
147,n02794156,a photo of a barometer.,barometer,1,426
148,n04599235,a photo of a wool.,wool,1,911
149,n04367480,a photo of a cleaning mop.,cleaning mop,1,840
150,n03355925,a photo of a flagpole.,flagpole,1,557
151,n03995372,a photo of a power drill.,power drill,1,740
152,n04447443,a photo of a toiletry or toilet articles.,toiletry or toilet articles,0,99999
153,n03697007,a photo of a lumbermill.,lumbermill,1,634
154,n02894605,a photo of a breakwater or jetty barrier.,breakwater or jetty barrier,1,460
155,n03197337,a photo of a digital watch.,digital watch,1,531
156,n03841143,a photo of a odometer.,odometer,1,685
157,n03915437,a photo of a percussion instrument.,percussion instrument,0,99999
158,n03062245,a photo of a cocktail shaker.,cocktail shaker,1,503
159,n04081281,a photo of a restaurant or eatery.,restaurant or eatery,1,762
160,n04579145,a photo of a whiskey jug.,whiskey jug,1,901
161,n02321529,a photo of a sea cucumber.,sea cucumber,1,329
162,n04542943,a photo of a waffle iron.,waffle iron,1,891
163,n04404412,a photo of a television or TV.,television or TV,1,851
164,n03983396,a photo of a pop bottle or soda bottle.,pop bottle or soda bottle,1,737
165,n09359803,a photo of a mountain a geological formation.,mountain a geological formation,0,99999
166,n03773504,a photo of a weapons missile.,weapons missile,1,657
167,n04265275,a photo of a space heater.,space heater,1,811
168,n04355338,a photo of a sundial.,sundial,1,835
169,n04204238,a photo of a shopping basket.,shopping basket,1,790
170,n03419014,a photo of a garment or clothing.,garment or clothing,0,99999
171,n01769347,a photo of a arachnid.,arachnid,0,99999
172,n03000684,a photo of a chain saw.,chain saw,1,491
173,n02858304,a photo of a boat.,boat,0,99999
174,n03775546,a photo of a mixing bowl.,mixing bowl,1,659
175,n03042490,a photo of a cliff dwelling.,cliff dwelling,1,500
176,n03777754,a photo of a modem.,modem,1,662
177,n04277352,a photo of a spindle.,spindle,1,816
178,n02730930,a photo of a apron.,apron,1,411
179,n03761084,a photo of a microwave oven.,microwave oven,1,651
180,n03958227,a photo of a plastic bag.,plastic bag,1,728
181,n03544143,a photo of a hourglass or sandglass.,hourglass or sandglass,1,604
182,n03502509,a photo of a head covering or headgear.,head covering or headgear,0,99999
183,n04376876,a photo of a syringe.,syringe,1,845
184,n09433442,a photo of a shore a geological formation by water.,shore a geological formation by water,0,99999
185,n04501370,a photo of a turnstile gate.,turnstile gate,1,877
186,n03743016,a photo of a megalithic structure.,megalithic structure,1,649
187,n03133878,a photo of a Crock Pot  cooker.,Crock Pot  cooker,1,521
188,n13037406,a photo of a gyromitra mushroom.,gyromitra mushroom,1,993
189,n03953416,a photo of a place of worship or house of prayer.,place of worship or house of prayer,0,99999
190,n09256479,a photo of a coral reef a geological formation.,coral reef a geological formation,1,973
191,n02942699,a photo of a camera.,camera,0,99999
192,dummy110,a photo of a machine.,machine,0,99999
193,n03041632,a photo of a meat cleaver  knife.,meat cleaver  knife,1,499
194,n04311004,a photo of a steel arch bridge.,steel arch bridge,1,821
195,n04152593,a photo of a CRT screen display.,CRT screen display,1,782
196,n03877845,a photo of a palace.,palace,1,698
197,n04486054,a photo of a triumphal arch.,triumphal arch,1,873
198,n03633091,a photo of a ladle.,ladle,1,618
199,n03874599,a photo of a padlock.,padlock,1,695
200,n09399592,a photo of a promontory or headland a geological formation.,promontory or headland a geological formation,1,976
201,n02793495,a photo of a barn.,barn,1,425
202,n02319095,a photo of a sea urchin.,sea urchin,1,328
203,n04401088,a photo of a telephone.,telephone,0,99999
204,n04074963,a photo of a remote control.,remote control,1,761
205,n06794110,a photo of a street sign.,street sign,1,919
206,n02974003,a photo of a car wheel.,car wheel,1,479
207,n04179913,a photo of a sewing machine.,sewing machine,1,786
208,n03220513,a photo of a dome.,dome,1,538
209,n03729826,a photo of a matchstick.,matchstick,1,644
210,n03290653,a photo of a entertainment center.,entertainment center,1,548
211,n04458633,a photo of a totem pole pillar monument.,totem pole pillar monument,1,863
212,n03381126,a photo of a footwear.,footwear,0,99999
213,n04347754,a photo of a submarine.,submarine,1,833
214,n04613696,a photo of a yurt tent.,yurt,1,915
215,n04004767,a photo of a printer.,printer,1,742
216,n04235291,a photo of a sled or sledge or sleigh.,sled or sledge or sleigh,0,99999
217,n03763968,a photo of a military uniform.,military uniform,1,652
218,n03482405,a photo of a hamper basket.,hamper basket,1,588
219,dummy112,a photo of a keyboard.,keyboard,0,99999
220,n03127925,a photo of a crate.,crate,1,519
221,n03903868,a photo of a pedestal.,pedestal,1,708
222,n03481172,a photo of a hammer.,hammer,1,587
223,n03151077,a photo of a curtains or drapes.,curtains or drapes,0,99999
224,n13044778,a photo of a earthstar fungus.,earthstar fungus,1,995
225,n09288635,a photo of a geyser a geological natural spring fountain.,geyser a geological natural spring fountain,1,974
226,n04041544,a photo of a wireless radio.,wireless radio,1,754
227,n03706229,a photo of a magnetic compass.,magnetic compass,1,635
228,n03271574,a photo of a electric fan.,electric fan,1,545
229,n04141975,a photo of a scale or weighing machine.,scale or weighing machine,1,778
230,n01661091,a photo of a reptile.,reptile,0,99999
231,n04435653,a photo of a tile roof.,tile roof,1,858
232,n04162706,a photo of a seat belt.,seat belt,1,785
233,n03443371,a photo of a goblet.,goblet,1,572
234,n03026506,a photo of a Christmas stocking.,Christmas stocking,1,496
235,n03759954,a photo of a microphone.,microphone,1,650
236,n02823428,a photo of a beer bottle.,beer bottle,1,440
237,n03776460,a photo of a mobile home.,mobile home,1,660
238,n03709823,a photo of a mailbag.,mailbag,1,636
239,n03614532,a photo of a keyboard instrument.,keyboard instrument,0,99999
240,n03472232,a photo of a gymnastic apparatus.,gymnastic apparatus,0,99999
241,n10565667,a photo of a scuba diver.,scuba diver,1,983
242,n04591713,a photo of a wine bottle.,wine bottle,1,907
243,n02877765,a photo of a bottle cap.,bottle cap,1,455
244,n02778669,a photo of a ball.,ball,0,99999
245,n02814860,a photo of a beacon or lighthouse.,beacon or lighthouse,1,437
246,n04392985,a photo of a tape player.,tape player,1,848
247,n04557648,a photo of a water bottle.,water bottle,1,898
248,n03483316,a photo of a hair dryer or hair drier.,hair dryer or hair drier,1,589
249,n01922303,a photo of a worm.,worm,0,99999
250,n03490324,a photo of a handwear.,handwear,0,99999
251,n03803284,a photo of a muzzle.,muzzle,1,676
252,n02879718,a photo of a bow.,bow,1,456
253,n03837869,a photo of a obelisk pillar monument.,obelisk pillar monument,1,682
254,n02843684,a photo of a birdhouse.,birdhouse,1,448
255,n04296562,a photo of a stage.,stage,1,819
256,n09468604,a photo of a valley a geological formation.,valley a geological formation,1,979
257,n03388183,a photo of a fountain pen.,fountain pen,1,563
258,n04317175,a photo of a stethoscope.,stethoscope,1,823
259,n03857828,a photo of a cathode-ray oscilloscope.,cathode-ray oscilloscope,1,688
260,n03657121,a photo of a lens cap.,lens cap,1,622
261,n09835506,a photo of a ballplayer.,ballplayer,1,981
262,n04033901,a photo of a quill pen.,quill pen,1,749
263,n04033995,a photo of a quilt or comforter  furnishing.,quilt or comforter  furnishing,1,750
264,n03998194,a photo of a prayer rug or mat.,prayer rug or mat,1,741
265,n03405725,a photo of a piece of furniture.,piece of furniture,0,99999
266,n01940736,a photo of a mollusk or shellfish.,mollusk or shellfish,0,99999
267,n04372370,a photo of a electrical switch.,electrical switch,1,844
268,n01627424,a photo of a amphibian.,amphibian,0,99999
269,n04532670,a photo of a viaduct.,viaduct,1,888
270,n12985857,a photo of a coral fungus.,coral fungus,1,991
271,n04005630,a photo of a prison.,prison,1,743
272,n01768244,a photo of a trilobite.,trilobite,1,69
273,n04111531,a photo of a rotisserie.,rotisserie,1,766
274,n02950826,a photo of a cannon.,cannon,1,471
275,n04517823,a photo of a vacuum cleaner.,vacuum cleaner,1,882
276,n04523525,a photo of a vaulted or arched ceiling.,vaulted or arched ceiling,1,884
277,n03208938,a photo of a hydraulic brake or brake system.,hydraulic brake or brake system,1,535
278,n04254777,a photo of a sock.,sock,1,806
279,n04338517,a photo of a stringed instrument.,stringed instrument,0,99999
280,n04263257,a photo of a soup bowl.,soup bowl,1,809
281,n01503061,a photo of a bird.,bird,0,99999
282,n02757462,a photo of a audio or sound system.,audio or sound system,0,99999
283,dummy35,a photo of a armor.,armor,0,99999
284,n04266014,a photo of a space craft or space shuttle.,space craft or space shuttle,1,812
285,n03781244,a photo of a monastery.,monastery,1,663
286,n02870880,a photo of a bookcase.,bookcase,1,453
287,n04125021,a photo of a safe.,safe,1,771
288,n03793489,a photo of a computer mouse.,computer mouse,1,673
289,n04438304,a photo of a timer.,timer,0,99999
290,n03782006,a photo of a monitor.,monitor,1,664
291,n02769748,a photo of a backpack or rucksack.,backpack or rucksack,1,414
292,n04476259,a photo of a tray.,tray,1,868
293,n02159955,a photo of a insect.,insect,0,99999
294,n07930864,a photo of a teacup.,teacup,1,968
295,n03046257,a photo of a clock.,clock,0,99999
296,n03661043,a photo of a library.,library,1,624
297,n03649909,a photo of a lawn mower.,lawn mower,1,621
298,n03874293,a photo of a paddle wheel.,paddle wheel,1,694
299,n02788148,a photo of a bannister (balustrade) handrail.,bannister (balustrade) handrail,1,421
300,n03314378,a photo of a face mask.,face mask,0,99999
301,n03710637,a photo of a maillot tights.,maillot tights,1,638
302,n04286575,a photo of a spotlight.,spotlight,1,818
303,n04023962,a photo of a punching bag.,punching bag,1,747
304,n04576211,a photo of a wheeled vehicle.,wheeled vehicle,0,99999
305,n04417672,a photo of a thatched roof.,thatched roof,1,853
306,n03450230,a photo of a gown.,gown,1,578
307,n03297495,a photo of a espresso maker or coffee maker.,espresso maker or coffee maker,1,550
308,n03250847,a photo of a drumstick.,drumstick,1,542
309,n01861778,a photo of a mammal.,mammal,0,99999
310,n04571292,a photo of a exercising weights.,exercising weights,0,99999
311,n02906734,a photo of a broom.,broom,1,462
312,n13040303,a photo of a stinkhorn fungus.,stinkhorn fungus,1,994
313,n01917289,a photo of a brain coral.,brain coral,1,109
314,n02823750,a photo of a beer glass.,beer glass,1,441
315,n02892767,a photo of a bra.,bra,1,459
316,n04228054,a photo of a ski.,ski,1,795
317,n03938244,a photo of a pillow or cushion.,pillow or cushion,1,721
318,n04154565,a photo of a screwdriver.,screwdriver,1,784
319,n04586932,a photo of a wind instrument.,wind instrument,0,99999
320,n03529860,a photo of a home theater.,home theater,1,598
321,n04008634,a photo of a projectile missile.,projectile missile,1,744
322,n09246464,a photo of a cliff a geological formation.,cliff a geological formation,1,972
323,n04039381,a photo of a racket or racquet.,racket or racquet,1,752
324,n04118776,a photo of a ruler measuring stick.,ruler measuring stick,1,769
325,n02966687,a photo of a carpenter's tool kit.,carpenter's tool kit,1,477
326,n04525038,a photo of a velvet fabric.,velvet fabric,1,885
327,n03160309,a photo of a water dam.,water dam,1,525
328,n03970156,a photo of a plunger or plumber's helper.,plunger or plumber's helper,1,731
329,n03924679,a photo of a photocopier.,photocopier,1,713
330,n01910747,a photo of a jellyfish.,jellyfish,1,107
331,n04238763,a photo of a slide rule.,slide rule,1,798
332,n02892201,a photo of a brass memorial plaque structure.,brass memorial plaque structure,1,458
333,n03459775,a photo of a radiator grille.,radiator grille,1,581
334,n04366367,a photo of a suspension bridge.,suspension bridge,1,839
335,n03956157,a photo of a planetarium.,planetarium,1,727
336,n03961711,a photo of a plate rack.,plate rack,1,729
337,dummy20,a photo of a mushroom.,mushroom,0,99999
338,n02686568,a photo of a aircraft.,aircraft,0,99999
339,n03457902,a photo of a greenhouse.,greenhouse,1,580
340,n01914609,a photo of a sea anemone.,sea anemone,1,108
341,n04070727,a photo of a refrigerator.,refrigerator,1,760
342,n04442312,a photo of a toaster.,toaster,1,859
343,n04485082,a photo of a camera tripod stand.,camera tripod stand,1,872
344,n10148035,a photo of a groom or bridegroom.,groom or bridegroom,1,982
345,dummy104,a photo of a computer.,computer,0,99999
346,n04131690,a photo of a salt shaker.,salt shaker,1,773
347,n04270147,a photo of a spatula.,spatula,1,813
348,n03967562,a photo of a plow or plough.,plow or plough,1,730
349,n03992509,a photo of a potter's wheel.,potter's wheel,1,739
350,n03748162,a photo of a retail store or shop.,retail store or shop,0,99999
351,n04026417,a photo of a purse.,purse,1,748
352,n09421951,a photo of a sandbank or shoal a geological formation.,sandbank or shoal a geological formation,1,977
353,n04550184,a photo of a wardrobe or closet.,wardrobe or closet,1,894
354,n03141823,a photo of a crutch.,crutch,1,523
355,n03343853,a photo of a firearm or weapon.,firearm or weapon,0,99999
356,n02317335,a photo of a starfish.,starfish,1,327
357,n03636649,a photo of a lamp  of light furnishing.,lamp  of light furnishing,0,99999
358,n04009552,a photo of a projector.,projector,1,745
359,n04356056,a photo of a sunglasses or shades.,sunglasses or shades,1,837
360,n11669921,a photo of a flower.,flower,0,99999
361,n03990474,a photo of a cooking pot.,cooking pot,0,99999
362,n04251144,a photo of a snorkel.,snorkel,1,801
363,n04194289,a photo of a ship.,ship,0,99999
364,n03327234,a photo of a fence.,fence,0,99999
365,n04208210,a photo of a shovel.,shovel,1,792
366,n03032252,a photo of a cinema or movie theater.,cinema or movie theater,1,498
367,n03880531,a photo of a cooking pan.,cooking pan,0,99999
368,n03602883,a photo of a joystick.,joystick,1,613
369,n03937543,a photo of a pill bottle.,pill bottle,1,720
370,n02980441,a photo of a castle.,castle,1,483
371,n04187547,a photo of a shed.,shed,0,99999
372,n03908618,a photo of a case.,case,1,709
373,n02783161,a photo of a ballpoint pen.,ballpoint pen,1,418
374,n03944341,a photo of a pinwheel.,pinwheel,1,723
375,n02512053,a photo of a fish.,fish,0,99999
376,n04149813,a photo of a scoreboard.,scoreboard,1,781
377,n03954731,a photo of a block plane.,block plane,1,726
378,n03623198,a photo of a knee pad.,knee pad,1,615
379,n03075370,a photo of a combination lock.,combination lock,1,507
380,n03584829,a photo of a clothes iron.,clothes iron,1,606
381,n04330267,a photo of a stove.,stove,1,827
382,n01974773,a photo of a crustacean.,crustacean,0,99999
383,n06874185,a photo of a traffic light or traffic signal.,traffic light or traffic signal,1,920
384,n04355933,a photo of a sunglasses.,sunglasses,1,836
385,n01784675,a photo of a centipede.,centipede,1,79
386,n03932670,a photo of a piece of cloth.,piece of cloth,0,99999
387,n01828970,a photo of a bee eater.,bee eater,1,92
388,n03590841,a photo of a carved pumpkin or jack-o-lantern.,carved pumpkin or jack-o-lantern,1,607
389,n02443114,a photo of a European polecat.,European polecat,1,358
390,n02190166,a photo of a fly.,fly,1,308
391,n03113152,a photo of a cosmetic.,cosmetic,0,99999
392,n02503517,a photo of a elephant.,elephant,0,99999
393,dummy113,a photo of a farming machine.,farming machine,0,99999
394,n01697457,a photo of a African Nile crocodile.,African Nile crocodile,1,49
395,n02398521,a photo of a hippopotamus or hippo.,hippopotamus or hippo,1,344
396,n01770081,a photo of a harvestman spider.,harvestman spider,1,70
397,n02948072,a photo of a candle.,candle,1,470
398,n02206856,a photo of a bee.,bee,1,309
399,n01770393,a photo of a scorpion.,scorpion,1,71
400,n01482330,a photo of a shark fish.,shark fish,0,99999
401,n04462240,a photo of a toyshop.,toyshop,1,865
402,n03014705,a photo of a storage chest.,storage chest,1,492
403,n03877472,a photo of a pajamas or pyjamas.,pajamas or pyjamas,1,697
404,n02444819,a photo of a otter.,otter,1,360
405,n02419796,a photo of a antelope.,antelope,0,99999
406,n02469914,a photo of a primate.,primate,0,99999
407,n02408429,a photo of a Asiatic water buffalo or water ox (Old World buffalo).,Asiatic water buffalo or water ox (Old World buffalo),1,346
408,n01843383,a photo of a toucan.,toucan,1,96
409,n02442845,a photo of a mink.,mink,1,357
410,n01604330,a photo of a bird of prey.,bird of prey,0,99999
411,n02787622,a photo of a banjo.,banjo,1,420
412,n01816887,a photo of a parrot bird.,parrot bird,0,99999
413,n03775071,a photo of a mitten glove.,mitten glove,1,658
414,n01592084,a photo of a chickadee.,chickadee,1,19
415,n02939185,a photo of a cooking cauldron.,cooking cauldron,1,469
416,n03942813,a photo of a ping-pong ball.,ping-pong ball,1,722
417,n04596742,a photo of a wok.,wok,1,909
418,n04344873,a photo of a studio couch.,studio couch,1,831
419,n03001627,a photo of a chair.,chair,0,99999
420,n02749479,a photo of a assault rifle weapon.,assault rifle weapon,1,413
421,n03372029,a photo of a flute.,flute,1,558
422,n01772222,a photo of a spider.,spider,0,99999
423,n01514859,a photo of a hen bird.,hen bird,1,8
424,n04612504,a photo of a yawl boat.,yawl boat,1,914
425,n01558993,a photo of a American robin bird.,American robin bird,1,15
426,n02274259,a photo of a butterfly.,butterfly,0,99999
427,n02137549,a photo of a mongoose.,mongoose,1,298
428,n02326432,a photo of a hare.,hare,1,331
429,n03673027,a photo of a ocean liner ship.,ocean liner ship,1,628
430,n01704323,a photo of a triceratops dinosaur.,triceratops dinosaur,1,51
431,n04243546,a photo of a slot machine.,slot machine,1,800
432,n04141076,a photo of a saxophone.,saxophone,1,776
433,n03891332,a photo of a parking meter.,parking meter,1,704
434,n02643566,a photo of a lionfish.,lionfish,1,396
435,n01629276,a photo of a salamander.,salamander,0,99999
436,n02927161,a photo of a butcher shop.,butcher shop,1,467
437,n04209239,a photo of a shower curtain.,shower curtain,1,794
438,n03888605,a photo of a parallel gymnastic bars.,parallel gymnastic bars,1,702
439,n03854065,a photo of a pipe organ.,pipe organ,1,687
440,n15075141,a photo of a toilet paper.,toilet paper,1,999
441,n02457408,a photo of a three-toed tree sloth.,three-toed tree sloth,1,364
442,n02355003,a photo of a swine.,swine,0,99999
443,n03089624,a photo of a confectionery or candy store.,confectionery or candy store,1,509
444,n03259280,a photo of a Dutch oven.,Dutch oven,1,544
445,n01986214,a photo of a hermit crab.,hermit crab,1,125
446,n02268443,a photo of a dragonfly or devil's darning needle insect.,dragonfly or devil's darning needle insect,1,319
447,n02443484,a photo of a black-footed ferret.,black-footed ferret,1,359
448,n03085013,a photo of a computer keyboard.,computer keyboard,1,508
449,n02231487,a photo of a walking stick insect.,walking stick insect,1,313
450,n03884397,a photo of a pan flute or panpipe.,pan flute or panpipe,1,699
451,n01871265,a photo of a tusker.,tusker,1,101
452,n02164464,a photo of a beetle.,beetle,0,99999
453,n03928116,a photo of a piano or pianoforte.,piano or pianoforte,0,99999
454,n02954340,a photo of a cap.,cap,0,99999
455,n03494278,a photo of a harmonica or mouth organ.,harmonica or mouth organ,1,593
456,n04505470,a photo of a typewriter keyboard.,typewriter keyboard,1,878
457,n03196324,a photo of a digital computer.,digital computer,0,99999
458,n02256656,a photo of a cicada.,cicada,1,316
459,n01844917,a photo of a aquatic bird.,aquatic bird,0,99999
460,n04199027,a photo of a shoe.,shoe,0,99999
461,n02777292,a photo of a balance beam.,balance beam,1,416
462,n01443537,a photo of a goldfish.,goldfish,1,1
463,n04090263,a photo of a rifle.,rifle,1,764
464,n03207743,a photo of a dishrag a piece of cloth.,dishrag a piece of cloth,1,533
465,n03535780,a photo of a horizontal gymnastic bar.,horizontal gymnastic bar,1,602
466,n04370456,a photo of a sweatshirt.,sweatshirt,1,841
467,n04128499,a photo of a sailboat or sailing boat.,sailboat or sailing boat,0,99999
468,n03495258,a photo of a harp.,harp,1,594
469,n02606052,a photo of a rock beauty fish.,rock beauty fish,1,392
470,n03584254,a photo of a iPod.,iPod,1,605
471,n09472597,a photo of a volcano a geological formation.,volcano a geological formation,1,980
472,n02219486,a photo of a ant.,ant,1,310
473,n01639765,a photo of a frog or toad.,frog or toad,0,99999
474,n11939491,a photo of a daisy flower.,daisy flower,1,985
475,n02786058,a photo of a Band Aid.,Band Aid,1,419
