n00001740	entity
n03854065	pipe organ 
n03928116	piano or pianoforte 
n03452741	grand piano 
n04515003	upright piano 
n03915437	percussion instrument 
n03017168	wind chime or bell chime 
n03249569	drum 
n03447721	gong or tam-tam 
n03720891	maraca hand percussion 
n03721384	marimba xylophone 
n04311174	steel drum 
n04338517	stringed instrument 
n02787622	banjo  
n03467517	guitar  
n02676566	acoustic guitar  
n03272010	electric guitar  
n03495258	harp  
n02992211	cello  
n04536866	violin  
n04586932	wind instrument 
n03840681	ocarina vessel flute 
n03884397	pan flute or panpipe 
n03494278	harmonica or mouth organ 
n03372029	flute 
n02804610	bassoon 
n03838899	oboe woodwind 
n04141076	saxophone 
n03110669	horn or trumpet 
n03394916	French horn 
n04487394	trombone 
n03967562	plow or plough
n03876231	paintbrush
n03906997	pen  
n02783161	ballpoint pen  
n03388183	fountain pen  
n04033901	quill pen  
n04116512	rubber pencil eraser  
n03908714	pencil sharpener  
n04153751	screw
n03804744	metal nail
n04127249	safety pin 
n03682487	lock
n03075370	combination lock
n03874599	padlock
n04067472	fishing casting reel
n03666591	lighter or igniter
n04456115	flame torch
n03489162	hand tool 
n03481172	hammer 
n03970156	plunger or plumber's helper 
n04154565	screwdriver 
n04208210	shovel 
n02966687	carpenter's tool kit 
n03995372	power drill 
n03000684	chain saw 
n03739693	medical instrument or equipment
n04317175	stethoscope 
n04376876	syringe 
n04565375	weapon  
n02879718	bow 
n03773504	weapons missile 
n04008634	projectile missile 
n02950826	cannon 
n03343853	firearm or weapon
n04090263	rifle 
n04086273	revolver 
n02749479	assault rifle weapon
n03621049	kitchen utensil  
n02951585	can opener 
n03109150	corkscrew
n03961711	plate rack  
n04476259	tray  
n03062245	cocktail shaker  
n04131690	salt shaker  
n03990474	cooking pot  
n02939185	cooking cauldron  
n03063689	coffeepot  
n04398044	teapot  
n07930864	teacup  
n03259280	Dutch oven  
n03880531	cooking pan  
n03400231	frying pan or skillet  
n04596742	wok  
n04270147	spatula  
n03633091	ladle  
n03041632	meat cleaver  knife
n03733805	measuring cup  
n04381994	dish  
n02880940	bowl  
n03775546	mixing bowl  
n04263257	soup bowl  
n07579787	plate of food 
n04597913	wooden spoon  
n03063599	coffee mug  
n02823750	beer glass  
n03443371	goblet  
n02876657	bottle   
n02823428	beer bottle 
n03983396	pop bottle or soda bottle 
n04557648	water bottle 
n04591713	wine bottle 
n04560804	water jug 
n04579145	whiskey jug   
n00004258	living thing
n00015388	animal
n01768244	trilobite
n01784675	centipede 
n01769347	arachnid  
n01770081	harvestman spider 
n01770393	scorpion 
n01776313	tick 
n01772222	spider 
n01773157	black and gold garden spider 
n01773549	barn spider 
n01773797	European garden spider 
n01774384	southern black widow spider 
n01774750	tarantula spider
n01775062	wolf spider 
n01974773	crustacean 
n01985128	crayfish or crawfish 
n01986214	hermit crab 
n01982650	lobster 
n01984695	spiny rock lobster or crawfish 
n01983481	American lobster 
n01976957	crab 
n01978287	Dungeness crab 
n01978455	rock crab 
n01980166	fiddler crab 
n01981276	Alaskan red king crab
n01990800	isopod
n02159955	insect 
n02164464	beetle 
n02165105	tiger beetle 
n02165456	ladybug or ladybird beetle 
n02167151	ground beetle 
n02168699	long-horned beetle 
n02169497	leaf beetle 
n02177972	weevil beetle
n02171869	scarabaeid beetle 
n02172182	dung beetle 
n02174001	rhinoceros beetle 
n02256656	cicada 
n02259212	leafhopper 
n02226429	grasshopper 
n02229544	cricket 
n02274259	butterfly 
n02277742	ringlet butterfly 
n02281406	sulphur butterfly 
n02281787	gossamer-winged butterfly 
n02280649	small white cabbage butterfly  
n02276258	red admiral butterfly 
n02279972	monarch milkweed butterfly 
n02233338	cockroach 
n02236044	praying mantis 
n02206856	bee 
n02219486	ant 
n02264363	lacewing fly 
n02190166	fly 
n02231487	walking stick insect
n02268443	dragonfly or devil's darning needle insect
n02268853	damselfly 
n02317335	starfish  
n02321529	sea cucumber  
n02319095	sea urchin  
n01940736	mollusk or shellfish  
n01955084	chiton or coat-of-mail shell  
n01943899	conch  
n01944390	snail  
n01945685	slug  
n01950731	sea slug
n01968897	chambered nautilus  
n01914609	sea anemone  
n01917289	brain coral 
n01910747	jellyfish 
n01922303	worm 
n01924916	flatworm or platyhelminth
n01930112	nematode worm or roundworm
n01861778	mammal
n01872401	echidna or spiny anteater 
n01873310	duck-billed platypus 
n02454379	armadillo 
n02457408	three-toed tree sloth 
n02329401	rodent 
n02342885	hamster 
n02346627	porcupine or hedgehog 
n02361337	marmot squirell
n02363005	beaver 
n02356798	eastern fox squirrel 
n02364673	guinea pig 
n02062017	aquatic mammal
n02073250	sea cow  
n02074367	dugong  
n02062744	whale  
n02066245	grey whale  
n02071294	killer whale or orca  
n02077923	sea lion 
n02503517	elephant 
n02504013	Indian elephant 
n02504458	African bush elephant 
n02469914	primate 
n02496913	lemur 
n02497673	Madagascar ring-tailed lemur 
n02500267	indri or indris lemur (babakato) 
n02484322	monkey 
n02490219	marmoset monkey 
n02492035	white-headed capuchin monkey 
n02492660	howler monkey 
n02493509	titi monkey 
n02493793	Geoffroy's spider monkey 
n02494079	common squirrel monkey 
n02484975	guenon monkey 
n02486261	patas hussar monkey 
n02486410	baboon monkey
n02487347	macaque monkey 
n02488291	langur monkey
n02488702	black-and-white colobus monkey 
n02489166	proboscis monkey 
n02470325	ape 
n02480495	orangutan 
n02480855	gorilla 
n02481823	chimpanzee or chimp 
n02483362	gibbon 
n02483708	siamang 
n02326432	hare 
n02324045	rabbit 
n02325366	cottontail wood rabbit 
n02328150	Angora rabbit 
n02398521	hippopotamus or hippo 
n02437616	llama 
n02437312	Arabian camel 
n02355003	swine 
n02395406	pig (hog) 
n02396427	wild boar 
n02397096	warthog 
n02391049	zebra 
n02389026	common sorrel horse 
n02410509	bison  
n02419796	antelope 
n02422106	hartebeest 
n02422699	impala (antelope) 
n02423022	gazelle 
n02411705	sheep 
n02412080	ram  male sheep
n02408429	Asiatic water buffalo or water ox (Old World buffalo) 
n02415577	bighorn Rocky Mountain sheep 
n02417914	Alpine ibex 
n02403003	ox 
n02131653	bear 
n02132136	brown bear 
n02133161	American black bear 
n02134084	polar bear 
n02134418	sloth bear 
n02120997	feline cat 
n02128385	leopard  cat
n02128757	snow leopard  cat
n02128925	jaguar panther  cat
n02129165	lion  cat
n02129604	tiger  cat
n02130308	cheetah  cat
n02441942	weasel  
n02442845	mink  
n02443114	European polecat  
n02443484	black-footed ferret  
n02444819	otter  
n02445715	skunk  
n02447366	badger  
n02137549	mongoose  
n02138441	meerkat  
n02509815	lesser red panda  
n02510455	giant panda bear  
n02121808	domestic cat
n02123045	tabby cat
n02123159	tiger cat
n02123394	Persian cat
n02123597	Siamese cat
n02124075	Egyptian Mau 
n02124623	wildcat
n02125311	cougar or puma  cat
n02127052	lynx  cat
n02083346	canine  
n02117135	hyena or hyaena   
n02114100	wolf  
n02114367	timber grey wolf  
n02114548	Arctic white wolf  
n02114712	red maned wolf  
n02114855	coyote prairie wolf  
n02118333	fox  
n02119022	red fox  
n02119789	kit fox  
n02120079	Arctic white fox  
n02120505	grey fox or gray fox  
n02084071	domestic dog  
n02110341	dalmatian or coach dog  
n02110806	Basenji hunting dog  
n02110958	Pug dog  
n02111129	Leonberger dog  
n02111277	Newfoundland dog  
n02111500	Great Pyrenees dog  
n02113978	Mexican hairless dog (xoloitzcuintli)  
n02113335	Poodle dog  
n02113624	Toy poodle 
n02113712	Miniature poodle 
n02113799	Standard poodle 
n02112826	Welsh corgi 
n02113023	Pembroke Welsh corgi 
n02113186	Cardigan Welsh corgi 
n02112706	Brabancon griffon dog  Brussels griffon dog
n02111626	Spitz dog  
n02111889	Samoyed dog  
n02112018	Pomeranian  
n02112137	Chow Chow dog  
n02112350	Keeshond Spitz dog  
n02108089	Boxer dog  
n02108422	Bull Mastiff dog  
n02109047	Great Dane dog  
n02109525	Saint Bernard dog (St Bernard)  
n02109961	Eskimo husky dog  
n02108672	English bulldog  
n02108915	French bulldog  
n02108254	Mastiff  
n02108551	Tibetan Mastiff  
n02110063	Alaskan Malamute dog  
n02110185	Siberian husky dog  
n02105251	Briard Berger de Brie French dog  
n02105412	Australian Kelpie  
n02105505	Hunagrian Komondor sheepdog  
n02105641	Old English sheepdog or bobtail  
n02105855	Shetland sheepdog  
n02106030	collie  
n02106166	Border collie dog  
n02106382	Bouvier des Flandres dog  
n02106550	Rottweiler  
n02106662	German shepherd dog or alsatian  
n02104882	Belgian sheepdog or Belgian shepherd  
n02105056	Groenendael dog  
n02105162	Belgian Malinois dog  
n02085620	Chihuahua  
n02085782	Japanese Chin spaniel  
n02085936	Maltese Terrier dog  
n02086079	Pekingese dog  
n02086240	Shih-Tzu  
n02087046	toy Terrier  
n02086346	toy spaniel  
n02086910	Papillon Continental Toy Spaniel  
n02086646	Blenheim cavelier King Charles spaniel  
n02107574	Greater Swiss Mountain dog  
n02107683	Bernese mountain dog  
n02107908	Appenzeller Sennenhund  
n02108000	EntleBucher Sennenhund  
n02087394	Rhodesian ridgeback  
n02093647	Bedlington Terrier  
n02093754	Border Terrier  
n02093859	Kerry blue Terrier  
n02093991	Irish Terrier  
n02094114	Norfolk Terrier  
n02094258	Norwich Terrier  
n02094433	Yorkshire Terrier  
n02096051	Airedale Terrier  
n02096177	cairn Terrier  
n02096294	Australian Terrier  
n02096437	Dandie Dinmont Terrier  
n02096585	Boston bull Terrier  
n02097298	Scottish Terrier  
n02097474	Tibetan Terrier  
n02097658	Sydney silky Terrier  
n02098105	soft-coated wheaten Terrier  
n02098286	West Highland white Terrier  
n02098413	Lhasa Apso  
n02095412	wire-haired Terrier  
n02095570	Lakeland Terrier  
n02095727	Welsh Terrier  
n02095889	Sealyham Terrier  
n02095314	wire-haired fox Terrier  
n02093056	bull Terrier  
n02093256	Staffordshire bull Terrier  
n02093428	American Staffordshire pit bull Terrier  
n02096756	schnauzer  
n02097047	miniature schnauzer  
n02097130	giant schnauzer  
n02097209	standard schnauzer  
n02099267	flat-coated retriever  
n02099429	curly-coated retriever  
n02099601	golden retriever  
n02099712	Labrador retriever  
n02099849	Chesapeake Bay retriever  
n02100236	German short-haired pointer  
n02100583	Hungarian vizsla pointer  
n02101388	Brittany spaniel  
n02101556	Clumber spaniel  
n02102318	English cocker spaniel  
n02102480	Sussex spaniel  
n02101861	springer spaniel  
n02102040	English springer spaniel  
n02102177	Welsh springer spaniel  
n02102973	Irish water spaniel  
n02100735	English setter  
n02100877	Irish red setter  
n02101006	Gordon setter  
n02104029	Hungarian kuvasz dog  
n02104365	Schipperke dog  
n02107142	Doberman  
n02107312	Miniature pinscher dog  
n02110627	Affenpinscher monkey dog  
n02088094	Afghan hound dog
n02088238	Basset hound dog 
n02088364	beagle dog
n02088466	bloodhound dog
n02088632	bluetick Coonhound dog
n02090379	redbone Coonhound dog
n02091244	Ibizan hound or Ibizan Podenco dog
n02091467	Norwegian elkhound dog 
n02091635	otterhound dog 
n02091831	Saluki or gazelle hound dog
n02092002	Scottish deerhound dog 
n02092339	Weimaraner hound dog 
n02091032	Italian greyhound dog 
n02091134	whippet dog 
n02090622	borzoi Russian hunting Wolfhound dog 
n02090721	Irish wolfhound dog 
n02089867	Treeing Walker Coonhound or Walker foxhound dog 
n02089973	English foxhound dog  
n02089078	black-and-tan Coonhound dog 
n02115335	wild dog  
n02115641	dingo dog or warrigal  
n02115913	dhole dog  
n02116738	African hunting dog  
n01874434	marsupial or pouched mammal 
n01883070	wombat  
n01881171	phalanger or opossum or possum  
n01882714	koala bear  
n01877812	wallaby brush kangaroo  
n01503061	bird 
n01604330	bird of prey 
n01616318	vulture 
n01613294	eagle 
n01614925	American bald eagle 
n01622779	great grey owl 
n01608432	kite bird 
n01843065	jacamar 
n01843383	toucan 
n01518878	ostrich 
n01828970	bee eater 
n01829413	hornbill 
n01833805	hummingbird 
n01823013	cuckoo 
n01824575	coucal 
n01844917	aquatic bird 
n02000954	wading bird 
n01860187	black swan 
n02021795	sea bird 
n02017213	common European gallinule bird 
n02051845	pelican 
n02058221	albatross 
n01855672	goose 
n01845132	water bird 
n01846331	duck 
n01847000	drake duck 
n01855032	red-breasted merganser 
n02006656	spoonbill bird 
n02007558	flamingo 
n02012849	crane bird 
n02013706	limpkin bird 
n02018795	bustard bird 
n02008041	heron 
n02009229	little blue heron 
n02011460	bittern bird 
n02009912	American great white egret 
n02002075	stork 
n02002556	white stork 
n02002724	black stork 
n02018207	American coot 
n02037110	oystercatcher wading bird 
n02026059	sandpiper wading bird 
n02027492	red-backed sandpiper dunlin bird 
n02028035	common redshank wading bird 
n02033041	dowitcher wading bird 
n02022684	shorebird or shore bird 
n02025239	ruddy turnstone bird 
n02056570	king penguin 
n01601694	American dipper bird 
n01592084	chickadee 
n01558993	American robin bird
n01560105	nightingale bird
n01560419	bulbul bird
n01530575	brambling bird
n01529672	finch bird
n01531178	goldfinch bird
n01532829	house finch bird
n01534433	junco or snowbird 
n01537544	indigo bunting bird 
n01578575	corvine bird 
n01580077	jay bird
n01582220	magpie bird
n01806567	quail bird
n01807496	partridge  ird
n01806143	peafowl bird
n01795088	grouse bird  
n01795545	black grouse bird  
n01796340	ptarmigan bird  
n01797886	ruffed grouse or partridge bird
n01798484	prairie grouse chicken bird
n01514668	rooster bird
n01514859	hen bird
n01816887	parrot bird 
n01817953	African grey parrot bird
n01818515	macaw bird
n01819313	sulphur-crested cockatoo bird
n01820546	lorikeet bird
n01661091	reptile 
n01698640	American alligator 
n01697457	African Nile crocodile 
n01674464	lizard 
n01687665	agamid lizard 
n01687978	agama lizard 
n01688243	frilled-necked lizard 
n01689811	alligator lizard 
n01676755	iguanid lizard 
n01677366	green iguana 
n01682714	Carolina anole chameleon 
n01694178	African chameleon 
n01693334	green alligator lizard 
n01692333	Gila monster lizard
n01675722	banded gecko lizard
n01685439	teiid lizard 
n01685808	desert grassland whiptail lizard 
n01695060	Komodo dragon lizard  
n01704323	triceratops dinosaur
n01726692	snake 
n01751748	sea snake 
n01727646	colubrid snake 
n01728572	worm snake 
n01728920	ring-necked snake 
n01729322	eastern hog-nosed snake or puff adder 
n01729977	smooth green grass snake 
n01734418	king snake 
n01735189	garter snake 
n01737021	water snake 
n01739381	vine snake 
n01740131	night snake 
n01752165	viper snake
n01753959	pit viper snake
n01753488	Saharan horned viper snake
n01748264	Indian cobra snake
n01749939	green mamba snake
n01755581	eastern diamondback rattlesnake 
n01756291	sidewinder horned rattlesnake 
n01742172	boa constrictor snake
n01744401	African rock python snake
n01662784	turtle  
n01667114	mud turtle  
n01667778	terrapin 
n01669191	box turtle 
n01663401	sea turtle or marine turtle 
n01664065	loggerhead sea turtle 
n01665541	leatherback sea turtle 
n01627424	amphibian 
n01639765	frog or toad 
n01644373	tree frog 
n01644900	tailed frog or bell toad 
n01641577	American bullfrog 
n01629276	salamander 
n01630670	smooth newt 
n01631663	newt 
n01629819	fire salamander 
n01632458	spotted salamander 
n01632777	axolotl or mud puppy 
n02512053	fish  
n01495701	ray fish 
n01496331	electric ray 
n01498041	stingray 
n01482330	shark fish
n01494475	hammerhead shark fish
n01484850	great white shark fish
n01491361	tiger shark fish
n02526121	eel 
n01440764	tench fish
n01443537	goldfish 
n02534734	salmon fish
n02536864	coho silver salmon fish
n02640242	sturgeon fish
n02641379	garfish
n02655020	pufferfish or blowfish 
n02607072	anemone (clown) fish 
n02606052	rock beauty fish 
n02643566	lionfish 
n02514041	barracouta (snoek) fish 
n00017222	plant life
n11669921	flower 
n11939491	daisy flower
n12057211	yellow lady's slipper flower
n12992868	fungus 
