n00001740	entity
n09256479	coral reef
n09468604	valley, vale
n02729837	electric appliance
n03483316	hair dryer or hair drier
n03584829	clothes iron, smoothing iron
n04179913	sewing machine
n04517823	vacuum cleaner
n03320046	fan
n03271574	electric fan 
n04265275	space heater
n04330267	stove
n03649909	lawn mower, mower
n03101156	cooker
n03133878	Crock Pot
n03207941	dishwasher or dishwashing machine
n04070727	refrigerator, icebox
n04554684	washer or washing machine
n03761084	microwave oven
n04442312	toaster
n04542943	waffle iron
n03063338	coffee maker
n03297495	espresso maker
n04111531	rotisserie
n03278248	electronic equipment
n02979186	cassette player
n02988304	CD player
n03777754	modem
n03782006	monitor
n03857828	cathode-ray oscilloscope, scope,oscilloscope, CRO
n04392985	tape player
n04401088	telephone, phone, telephone set
n03187595	dial telephone, dial phone
n03902125	pay-phone, pay-station
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone
n02757462	audio or sound system
n03584254	iPod
n03691459	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
n04404412	television, television system
n04041544	wireless radio
n03759954	microphone, mike
n03924679	photocopier
n04009552	projector
n03529860	home theater, home theatre
n03196324	digital computer
n03180011	desktop computer
n03485407	hand-held computer, hand-held microcomputer
n03642806	laptop, laptop computer
n03832673	notebook computer
n04004767	printer
n03211117	video display
n04152593	CRT screen
n03085013	computer keyboard, keypad
n03602883	joystick
n03793489	computer mouse
n04074963	remote control, remote
n04285146	sports equipment
n04571292	exercising weights
n02790996	barbells
n03255030	dumbbells
n03472232	gymnastic apparatus, exerciser
n02777292	balance beam, beam
n03535780	horizontal bar, high bar
n03888605	parallel bars, bars
n02778669	ball
n02799071	baseball
n02802426	basketball
n03134739	croquet ball
n03445777	golf ball
n03942813	ping-pong ball
n04023962	punching bag, punch bag, punching ball, punchball
n04118538	rugby ball
n04254680	soccer ball
n04409515	tennis ball
n04540053	volleyball
n04039381	racket or racquet
n04228054	ski
n04251144	snorkel
n03926148	photographic equipment
n02942699	camera, photographic camera
n03976467	Polaroid camera, Polaroid Land camera
n04069434	reflex camera
n04485082	tripod
n03657121	lens cap, lens cover
n03733925	measuring instrument, measuring system, measuring device
n03735637	measuring stick, measure, measuring rod
n04118776	ruler measuring stick
n03753077	meter
n03841143	odometer, hodometer, mileometer, milometer
n04437953	timepiece or clock, timekeeper, horologe
n04355338	sundial
n04438304	timer
n03891332	parking meter
n04328186	stopwatch, stop watch
n03046257	clock
n02708093	analog clock
n03196217	digital clock
n04548280	wall clock
n04555897	watch, ticker
n03197337	digital watch
n04134632	sandglass
n03544143	hourglass
n02794156	barometer
n04141975	scale, weighing machine
n03080497	compass
n03706229	magnetic compass
n04147495	scientific instrument
n02666196	abacus
n04403638	telescope, scope
n04044716	radio telescope, radio reflector
n03760671	microscope
n03484931	magnifying glass
n03692522	jeweler's loupe
n02841315	binoculars, field glasses, opera glasses
n03800933	musical instrument, instrument
n03614532	keyboard instrument
n02672831	piano accordion, squeeze box
n03854065	pipe organ
n03928116	piano or pianoforte, forte-piano
n03452741	grand piano, grand
n04515003	upright piano
n03915437	percussion instrument, percussive instrument
n03017168	chime, bell, gong
n03249569	drum, membranophone, tympan
n03447721	gong, tam-tam
n03720891	maraca
n03721384	marimba, xylophone
n04311174	steel drum
n04338517	stringed instrument
n02787622	banjo
n03467517	guitar
n02676566	acoustic guitar
n03272010	electric guitar
n03495258	harp
n02992211	cello, violoncello
n04536866	violin, fiddle
n04586932	wind instrument, wind
n03840681	ocarina, sweet potato
n03945615	pipe
n03884397	panpipe, pandean pipe, syrinx
n03494278	harmonica or mouth organ, harp, mouth harp
n03372029	flute, transverse flute
n02804610	bassoon
n03838899	oboe, hautboy, hautbois
n04141076	saxophone
n03110669	horn or trumpet, trump
n03394916	French horn, horn
n04487394	trombone
n03967562	plow, plough
n03876231	paintbrush
n03906997	pen
n02783161	ballpoint pen, ballpen, Biro
n03388183	fountain pen
n04033901	quill pen
n04116512	rubber pencil eraser, rubber, pencil eraser
n03908714	pencil sharpener
n04153751	screw
n03804744	nail
n03940256	pin
n04127249	safety pin
n03682487	lock
n03075370	combination lock
n03874599	padlock
n04067472	fishing casting reel
n03666591	lighter or igniter, ignitor
n04456115	torch
n03489162	hand tools
n03481172	hammer
n03970156	plunger, plumber's helper
n04154565	screwdriver
n04208210	shovel
n02966687	carpenter's tool kit
n03995372	power drill
n03000684	chain saw, chainsaw
n03739693	medical instrument
dummy666	medical equipment
n04317175	stethoscope
n04376876	syringe
n04565375	weapon, weapon system
n02879718	bow
n03773504	missile
n04008634	projectile, missile
n02950826	cannon
n03343853	firearm, piece, small-arm
n04090263	rifle
n03948459	pistol or handgun, side arm, shooting iron
n04086273	revolver, six-gun, six-shooter
n02760429	automatic firearm or gun, automatic weapon
n02749479	assault rifle, assault gun
n03621049	kitchen utensil
n03848348	opener
n02951585	can opener, tin opener
n02877962	bottle opener
n03109150	corkscrew, bottle screw
n03961711	plate rack
n04476259	tray
n03062245	cocktail shaker
n04131690	saltshaker, salt shaker
n03990474	cooking pot
n02939185	cooking cauldron
n03063689	coffeepot
n04398044	teapot
n03259280	Dutch oven
n03880531	cooking pan
n03400231	frying pan or skillet
n04596742	wok
n04270147	spatula
n03633091	ladle
n03623556	knife
n03041632	meat cleaver, chopper
n03733805	measuring cup
n04381994	dish
n02880940	bowl
n03775546	mixing bowl
n04263257	soup bowl
n07579787	plate
n04284002	spoon
n04597913	wooden spoon
n03797390	mug
n03063599	coffee mug
n03438257	drinking glass
n02823750	beer glass
n03443371	goblet
n02876657	bottle
n02823428	beer bottle
n03983396	pop bottle, soda bottle
n04557648	water bottle
n04591713	wine bottle
n03603722	jug
n04560804	water jug
n04579145	whiskey jug
n00004258	living thing, animate thing
n00015388	animal, animate being, beast, brute, creature, fauna
n01767661	arthropod
n01768244	trilobite
n01784675	centipede
n01769347	arachnid, arachnoid
n01770081	harvestman spider, daddy longlegs, Phalangium opilio
n01770393	scorpion
n01776313	tick
n01772222	spider
n01773157	black and gold garden spider, Argiope aurantia
n01773549	barn spider, Araneus cavaticus
n01773797	European garden spider, Aranea diademata
n01774384	southern black widow spider, Latrodectus mactans
n01774750	tarantula
n01775062	wolf spider, hunting spider
n01974773	crustacean
n01985128	crayfish, crawfish, crawdad, crawdaddy
n01986214	hermit crab
n01982650	lobster
n01984695	spiny rock lobster or crawfish, langouste, rock lobster, crawfish, crayfish, sea crawfish
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
n01976957	crab
n01978287	Dungeness crab, Cancer magister
n01978455	rock crab, Cancer irroratus
n01980166	fiddler crab
n01981276	Alaskan red king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
n01990800	isopod
n02159955	insect
n02164464	beetle
n02165105	tiger beetle
n02165456	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
n02167151	ground beetle, carabid beetle
n02168699	long-horned beetle, longicorn, longicorn beetle
n02169497	leaf beetle, chrysomelid
n02177972	weevil
n02171869	scarabaeid beetle, scarabaeid, scarabaean
n02172182	dung beetle
n02174001	rhinoceros beetle
n02256656	cicada, cicala
n02259212	leafhopper
n02226429	grasshopper, hopper
n02229544	cricket insect
n02274259	butterfly
n02277742	ringlet butterfly
n02281406	sulphur butterfly, sulfur butterfly
n02281787	gossamer-winged butterfly
n02280458	pierid butterfly
n02280649	small white (cabbage) butterfly
n02276258	red admiral butterfly
n02279972	monarch milkweed butterfly, Danaus plexippus
n02233338	cockroach, roach
n02236044	mantis, mantid
n02206856	bee
n02219486	ant, emmet, pismire
n02264363	lacewing fly
n02190166	fly
n02231487	walking stick insect, walkingstick, stick insect
n02268443	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
n02268853	damselfly
n02316707	echinoderm
n02317335	starfish, sea star
n02321529	sea cucumber, holothurian
n02319095	sea urchin
n01940736	mollusk or shellfish
n01955084	chiton, coat-of-mail shell, sea cradle, polyplacophore
n01943899	conch
n01944390	snail
n01945685	slug
n01950731	sea slug, nudibranch
n01968897	chambered nautilus, pearly nautilus, nautilus
n01914609	sea anemone, anemone
n01915811	coral
n01917289	brain coral
n01910747	jellyfish
n01922303	worm
n01924916	flatworm, platyhelminth
n01930112	nematode worm, roundworm
n01861778	mammal, mammalian
n01872401	echidna or spiny anteater, anteater
n01873310	duck-billed platypus, duck-billed platypus, Ornithorhynchus anatinus
n02454379	armadillo
n02456962	tree sloth
n02457408	three-toed sloth, ai, Bradypus tridactylus
n02329401	rodent, gnawer
n02342885	hamster
n02346627	porcupine, hedgehog
n02361337	marmot
n02363005	beaver
n02355227	squirrel
n02356798	eastern fox squirrel, Sciurus niger
n02364673	guinea pig, Cavia cobaya
n02062017	aquatic mammal
n02073250	sea cow, sirenian mammal, sirenian
n02074367	dugong, Dugong dugon
n02062744	whale
n02066245	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
n02071294	killer whale or orca, grampus, sea wolf, Orcinus orca
n02076196	seal
n02077923	sea lion
n02503517	elephant
n02504013	Indian elephant, Elephas maximus
n02504458	African bush elephant, Loxodonta africana
n02469914	primate
n02496913	lemur
n02497673	Madagascar ring-tailed lemur, Lemur catta
n02500267	indri or indris lemur (babakato), Indri indri, Indri brevicaudatus
n02484322	monkey
n02490219	marmoset monkey
n02492035	white-headed capuchin monkey, ringtail, Cebus capucinus
n02492660	howler monkey, howler
n02493509	titi monkey
n02493793	Geoffroy's spider monkey, Ateles geoffroyi
n02494079	common squirrel monkey, Saimiri sciureus
n02484975	guenon monkey
n02486261	patas hussar monkey, Erythrocebus patas
n02486410	baboon
n02487347	macaque monkey
n02488291	langur
n02488702	black-and-white colobus monkey
n02489166	proboscis monkey, Nasalis larvatus
n02470325	ape
n02480495	orangutan, orang, orangutang, Pongo pygmaeus
n02480855	gorilla, Gorilla gorilla
n02481823	chimpanzee or chimp, Pan troglodytes
n02483362	gibbon, Hylobates lar
n02483708	siamang, Hylobates syndactylus, Symphalangus syndactylus
n02326432	hare
n02324045	rabbit, coney, cony
n02325366	cottontail wood rabbit, cottontail rabbit
n02328150	Angora rabbit
n02370806	hoofed mammal
n02398521	hippopotamus, hippo, river horse, Hippopotamus amphibius
n02437616	llama
n02437136	camel
n02437312	Arabian camel, dromedary, Camelus dromedarius
n02355003	swine
n02395406	pig (hog), grunter, squealer, Sus scrofa
n02396427	wild boar, boar, Sus scrofa
n02397096	warthog
n02391049	zebra
n02374451	horse, Equus caballus
n02389026	common sorrel horse
n02401031	bovid
n02410509	bison
n02419796	antelope
n02422106	hartebeest
n02422699	impala (antelope), Aepyceros melampus
n02423022	gazelle
n02411705	sheep
n02412080	ram (adult male sheep), tup
n02407959	Old World buffalo, buffalo
n02408429	Asiatic water buffalo, water ox, buffalo, Bubalus bubalis
n02414578	wild sheep
n02415435	mountain sheep
n02415577	bighorn Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n02416519	goat, caprine animal
n02417914	Alpine ibex, Capra ibex
n02402010	bovine animal
n02402425	cattle, cows, kine, oxen, Bos taurus
n02403003	ox
n02131653	bear
n02132136	brown bear, bruin, Ursus arctos
n02133161	American black bear, black bear, Ursus americanus, Euarctos americanus
n02134084	polar bear, Ursus Maritimus, Thalarctos maritimus
n02134418	sloth bear, Melursus ursinus, Ursus ursinus
n02120997	feline
n02121620	cat
n02127808	big cat
n02128385	leopard, Panthera pardus
n02128757	snow leopard, ounce, Panthera uncia
n02128925	jaguar panther, Panthera onca, Felis onca
n02129165	lion, king of beasts, Panthera leo
n02129604	tiger, Panthera tigris
n02130308	cheetah, chetah, Acinonyx jubatus
n02441326	musteline mammal
n02441942	weasel
n02442845	mink
n02443114	European polecat, fitch, foulmart, foumart, Mustela putorius
n02443484	black-footed ferret, ferret, Mustela nigripes
n02444819	otter
n02445715	skunk
n02447366	badger
n02134971	viverrine mammal
n02137549	mongoose
n02138441	meerkat, mierkat
n02507649	procyonid
n02509815	lesser red panda, panda, bear cat, cat bear, Ailurus fulgens
n02510455	giant panda bear, coon bear, Ailuropoda melanoleuca
n02121808	domestic cat, house cat, Felis domesticus, Felis catus
n02123045	tabby cat
n02123159	tiger cat
n02123394	Persian cat
n02123597	Siamese cat, Siamese
n02124075	Egyptian Mau cat
n02124623	wildcat
n02125311	cougar or puma, catamount, mountain lion, painter, panther, Felis concolor
n02127052	lynx, catamount
n02083346	canine 
n02117135	hyena, hyaena
n02114100	wolf
n02114367	timber grey wolf, gray wolf, Canis lupus
n02114548	Arctic white wolf, Canis lupus tundrarum
n02114712	red maned wolf, Canis rufus, Canis niger
n02114855	coyote prairie wolf, brush wolf, Canis latrans
n02118333	fox
n02119022	red fox, Vulpes vulpes
n02119789	kit fox, Vulpes macrotis
n02120079	Arctic white fox, Alopex lagopus
n02120505	grey fox, gray fox, Urocyon cinereoargenteus
n02084071	dog, domestic dog, Canis familiaris
n02110341	dalmatian, coach dog, carriage dog
n02110806	Basenji hunting dog
n02110958	Pug dog
n02111129	Leonberger dog
n02111277	Newfoundland dog
n02111500	Great Pyrenees dog
n02113978	Mexican hairless dog (xoloitzcuintli)
n02113335	Poodle dog
n02113624	Toy poodle
n02113712	Miniature poodle
n02113799	Standard poodle
n02112826	Welsh corgi
n02113023	Pembroke Welsh corgi
n02113186	Cardigan Welsh corgi
n02112497	Belgian Brussels griffon dog
n02112706	Brabancon griffon dog
n02111626	Spitz dog
n02111889	Samoyed dog, Samoyede
n02112018	Pomeranian
n02112137	Chow Chow dog
n02112350	Keeshond Spitz dog
n02108089	Boxer dog
n02108422	Bull Mastiff dog
n02109047	Great Dane dog
n02109525	Saint Bernard dog, St Bernard
n02109961	Eskimo husky dog, husky
n02108672	English bulldog
n02108915	French bulldog
n02108254	Mastiff
n02108551	Tibetan Mastiff
n02110063	Alaskan Malamute dog
n02110185	Siberian husky dog
n02105251	Briard Berger de Brie French dog
n02105412	Australian Kelpie
n02105505	Hunagrian Komondor sheepdog
n02105641	Old English sheepdog, bobtail
n02105855	Shetland sheepdog, Shetland sheep dog, Shetland
n02106030	collie
n02106166	Border collie dog
n02106382	Bouvier des Flandres dog, Bouviers des Flandres
n02106550	Rottweiler
n02106662	German shepherd dog, German police dog, alsatian
n02104882	Belgian sheepdog, Belgian shepherd
n02105056	Groenendael dog
n02105162	Belgian Malinois dog
n02085620	Chihuahua
n02085782	Japanese Chin spaniel
n02085936	Maltese dog, Maltese Terrier, Maltese
n02086079	Pekingese dog, Pekingese, Peke
n02086240	Shih-Tzu
n02087046	toy Terrier
n02086346	toy spaniel
n02086910	Papillon Continental Toy Spaniel
n02086646	Blenheim cavelier King Charles spaniel
n02107574	Greater Swiss Mountain dog
n02107683	Bernese mountain dog
n02107908	Appenzeller Sennenhund
n02108000	EntleBucher Sennenhund
n02087394	Rhodesian ridgeback
n02093647	Bedlington Terrier
n02093754	Border Terrier
n02093859	Kerry blue Terrier
n02093991	Irish Terrier
n02094114	Norfolk Terrier
n02094258	Norwich Terrier
n02094433	Yorkshire Terrier
n02096051	Airedale, Airedale Terrier
n02096177	cairn Terrier
n02096294	Australian Terrier
n02096437	Dandie Dinmont Terrier
n02096585	Boston bull Terrier
n02097298	Scottish Terrier, Scottie
n02097474	Tibetan Terrier, chrysanthemum dog
n02097658	Sydney silky Terrier, Sydney silky
n02098105	soft-coated wheaten Terrier
n02098286	West Highland white Terrier
n02098413	Lhasa Apso
n02095412	wire-haired Terrier
n02095570	Lakeland Terrier
n02095727	Welsh Terrier
n02095889	Sealyham Terrier, Sealyham
